STATE,INCOME PER HOUSEHOLD,Median,Percent,POPULATION
Alabama,48123,61372,78,4874747.00
Alaska,73181,61372,119,739795.00
Arizona,56581,61372,92,7016270.00
Arkansas,45869,61372,75,3004279.00
California,71805,61372,117,39536653.00
Colorado,69117,61372,113,5607154.00
Connecticut,74168,61372,121,3588184.00
Delaware,62852,61372,102,961939.00
District of Columbia,82372,61372,134,693972.00
Florida,52594,61372,86,20984400.00
Georgia,56183,61372,92,10429379.00
Hawaii,77765,61372,127,1427538.00
Idaho,52225,61372,85,1716943.00
Illinois,62992,61372,103,12802023.00
Indiana,54181,61372,88,6666818.00
Iowa,58570,61372,95,3145711.00
Kansas,56422,61372,92,2913123.00
Kentucky,48375,61372,79,4454189.00
Louisiana,46145,61372,75,4684333.00
Maine,55277,61372,90,1335907.00
Maryland,80776,61372,132,6052177.00
Massachusetts,77385,61372,126,6859819.00
Michigan,54909,61372,89,9962311.00
Minnesota,68388,61372,111,5576606.00
Mississippi,43529,61372,71,2984100.00
Missouri,53578,61372,87,6113532.00
Montana,53386,61372,87,1050493.00
Nebraska,59970,61372,98,1920076.00
Nevada,58003,61372,95,2998039.00
New Hampshire,73381,61372,120,1342795.00
New Jersey,80088,61372,130,9005644.00
New Mexico,46744,61372,76,2088070.00
New York,64894,61372,106,19849399.00
North Carolina,52752,61372,86,10273419.00
North Dakota,61843,61372,101,755393.00
Ohio,54021,61372,88,11658609.00
Oklahoma,50051,61372,82,3930864.00
Oregon,60212,61372,98,4142776.00
Pennsylvania,59105,61372,96,12805537.00
Rhode Island,63870,61372,104,1059639.00
South Carolina,50570,61372,82,5024369.00
South Dakota,56521,61372,92,869666.00
Tennessee,51340,61372,84,6715984.00
Texas,59206,61372,96,28304596.00
Utah,65358,61372,106,3101833.00
Vermont,57513,61372,94,623657.00
Virginia,71535,61372,117,8470020.00
Washington,70979,61372,116,7405743.00
West Virginia,43469,61372,71,1815857.00
Wisconsin,59305,61372,97,5795483.00
Wyoming,60434,61372,98,579315.00