,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,Enrolled,Percent
507452,TN,Anderson County,1,0,75129,14203,19%
507661,TN,Bedford County,1,0,45058,6534,15%
507870,TN,Benton County,1,0,16489,3428,21%
508079,TN,Bledsoe County,1,0,12876,2064,16%
508288,TN,Blount County,1,0,123010,21844,18%
508497,TN,Bradley County,1,0,98963,17193,17%
508706,TN,Campbell County,1,0,40716,8391,21%
508915,TN,Cannon County,1,0,13801,2275,16%
509124,TN,Carroll County,1,0,28522,5628,20%
509333,TN,Carter County,1,0,57424,11247,20%
509542,TN,Cheatham County,1,0,39105,5542,14%
509751,TN,Chester County,1,0,17131,2703,16%
509960,TN,Claiborne County,1,0,32213,6759,21%
510169,TN,Clay County,1,0,7861,1500,19%
510378,TN,Cocke County,1,0,35662,7743,22%
510587,TN,Coffee County,1,0,52796,8738,17%
510796,TN,Crockett County,1,0,14586,2441,17%
511005,TN,Cumberland County,1,0,56053,15710,28%
511214,TN,Davidson County,1,0,626681,71993,11%
511423,TN,Decatur County,1,0,11757,2481,21%
511632,TN,DeKalb County,1,0,18723,3355,18%
511841,TN,Dickson County,1,0,49666,7655,15%
512050,TN,Dyer County,1,0,38335,6528,17%
512259,TN,Fayette County,1,0,38413,6758,18%
512468,TN,Fentress County,1,0,17959,3997,22%
512677,TN,Franklin County,1,0,41052,7115,17%
512886,TN,Gibson County,1,0,49683,8974,18%
513095,TN,Giles County,1,0,29485,5183,18%
513304,TN,Grainger County,1,0,22657,4600,20%
513513,TN,Greene County,1,0,68831,14403,21%
513722,TN,Grundy County,1,0,13703,2734,20%
513931,TN,Hamblen County,1,0,62544,11532,18%
514140,TN,Hamilton County,1,0,336463,54514,16%
514349,TN,Hancock County,1,0,6819,1059,16%
514558,TN,Hardeman County,1,0,27253,4311,16%
514767,TN,Hardin County,1,0,26026,5408,21%
514976,TN,Hawkins County,1,0,56833,12533,22%
515185,TN,Haywood County,1,0,18787,2981,16%
515394,TN,Henderson County,1,0,27769,4473,16%
515603,TN,Henry County,1,0,32330,6590,20%
515812,TN,Hickman County,1,0,24690,3839,16%
516021,TN,Houston County,1,0,8426,1347,16%
516230,TN,Humphreys County,1,0,18538,3238,17%
516439,TN,Jackson County,1,0,11638,2258,19%
516648,TN,Jefferson County,1,0,51407,10065,20%
516857,TN,Johnson County,1,0,18244,3672,20%
517066,TN,Knox County,1,0,432226,66254,15%
517275,TN,Lake County,1,0,7832,977,12%
517484,TN,Lauderdale County,1,0,27815,3949,14%
517693,TN,Lawrence County,1,0,41869,7594,18%
517902,TN,Lewis County,1,0,12161,1956,16%
518111,TN,Lincoln County,1,0,33361,5626,17%
518320,TN,Loudon County,1,0,48556,11954,25%
518529,TN,McMinn County,1,0,52266,9825,19%
518738,TN,McNairy County,1,0,26075,5199,20%
518947,TN,Macon County,1,0,22248,3790,17%
519156,TN,Madison County,1,0,98294,14613,15%
519365,TN,Marion County,1,0,28237,5335,19%
519574,TN,Marshall County,1,0,30617,4599,15%
519783,TN,Maury County,1,0,80956,13856,17%
519992,TN,Meigs County,1,0,11753,2197,19%
520201,TN,Monroe County,1,0,44519,9208,21%
520410,TN,Montgomery County,1,0,172331,12763,7%
520619,TN,Moore County,1,0,6362,849,13%
520828,TN,Morgan County,1,0,21987,3916,18%
521037,TN,Obion County,1,0,31807,7247,23%
521246,TN,Overton County,1,0,22083,4093,19%
521455,TN,Perry County,1,0,7915,1423,18%
521664,TN,Pickett County,1,0,5077,1078,21%
521873,TN,Polk County,1,0,16825,3048,18%
522082,TN,Putnam County,1,0,72321,11593,16%
522291,TN,Rhea County,1,0,31809,5776,18%
522500,TN,Roane County,1,0,54181,11288,21%
522709,TN,Robertson County,1,0,66283,9523,14%
522918,TN,Rutherford County,1,0,262604,27766,11%
523127,TN,Scott County,1,0,22228,4034,18%
523336,TN,Sequatchie County,1,0,14112,2944,21%
523545,TN,Sevier County,1,0,89889,16729,19%
523754,TN,Shelby County,1,0,927644,104866,11%
523963,TN,Smith County,1,0,19166,2904,15%
524172,TN,Stewart County,1,0,13324,2009,15%
524381,TN,Sullivan County,1,0,156823,33898,22%
524590,TN,Sumner County,1,0,160645,25544,16%
524799,TN,Tipton County,1,0,61081,7129,12%
525008,TN,Trousdale County,1,0,7870,1223,16%
525217,TN,Unicoi County,1,0,18313,3774,21%
525426,TN,Union County,1,0,19109,3582,19%
525635,TN,Van Buren County,1,0,5548,1148,21%
525844,TN,Warren County,1,0,39839,6874,17%
526053,TN,Washington County,1,0,122979,20818,17%
526262,TN,Wayne County,1,0,17021,2810,17%
526471,TN,Weakley County,1,0,35021,5850,17%
526680,TN,White County,1,0,25841,5139,20%
526889,TN,Williamson County,1,0,183182,22753,12%
527098,TN,Wilson County,1,0,113993,18048,16%